"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Alabama","Baldwin",2021,203,190,13,0,0,0,0,61,49,37,0,0,166,0,37,0
"Alabama","Clay",2021,73,66,7,0,0,0,0,67,50,28,0,0,0,0,73,0
"Alabama","DeKalb",2021,239,211,28,0,0,0,0,84,51,38,0,0,213,0,26,0
"Alabama","Elmore",2021,180,177,3,0,0,0,0,87,45,34,0,0,180,0,0,0
"Alabama","Etowah",2021,204,178,26,0,0,0,0,77,54,38,0,0,158,0,46,0
"Alabama","Jefferson",2021,182,90,90,1,0,1,0,213,74,51,2,1,65,0,113,1
"Alabama","Madison",2021,173,139,33,1,0,0,0,101,56,42,0,0,79,0,81,13
"Alabama","Mobile",2021,243,162,81,0,0,0,0,81,58,46,0,0,48,0,195,0
"Alabama","Montgomery",2021,232,182,50,0,0,0,0,93,57,40,0,0,108,0,124,0
"Alabama","Morgan",2021,243,191,52,0,0,0,0,96,61,41,0,0,87,0,156,0
"Alabama","Russell",2021,243,189,51,3,0,0,0,142,61,39,0,0,74,0,169,0
"Alabama","Shelby",2021,242,226,15,1,0,0,0,107,49,31,0,0,175,67,0,0
"Alabama","Sumter",2021,243,226,17,0,0,0,0,68,48,31,0,0,118,0,125,0
"Alabama","Tuscaloosa",2021,204,192,12,0,0,0,0,90,46,33,0,0,156,0,48,0
"Alaska","Anchorage ",2021,182,156,25,1,0,0,0,132,53,26,1,0,0,0,115,66
"Alaska","Denali ",2021,272,269,3,0,0,0,0,74,42,33,0,0,272,0,0,0
"Alaska","Fairbanks North Star ",2021,182,125,39,12,6,0,0,176,97,37,1,0,74,5,100,2
"Alaska","Juneau ",2021,175,164,11,0,0,0,0,88,38,14,0,0,0,0,170,5
"Alaska","Matanuska-Susitna ",2021,175,155,17,2,1,0,0,160,53,10,0,0,0,0,118,57
"Arizona","Apache",2021,264,262,2,0,0,0,0,88,29,15,0,0,0,0,13,251
"Arizona","Cochise",2021,273,180,91,2,0,0,0,105,61,47,0,0,247,0,0,26
"Arizona","Coconino",2021,273,177,96,0,0,0,0,93,67,47,0,0,273,0,0,0
"Arizona","Gila",2021,273,142,122,8,1,0,0,161,87,50,0,0,248,14,0,11
"Arizona","La Paz",2021,270,170,99,0,1,0,0,187,74,48,0,0,267,0,1,2
"Arizona","Maricopa",2021,304,52,106,71,36,39,0,272,206,97,0,3,240,0,8,53
"Arizona","Mohave",2021,273,271,1,0,1,0,0,156,35,20,0,0,0,0,0,273
"Arizona","Navajo",2021,273,202,70,1,0,0,0,101,64,45,0,0,247,0,0,26
"Arizona","Pima",2021,274,97,164,12,0,0,1,315,87,56,1,0,181,0,19,73
"Arizona","Pinal",2021,273,70,178,25,0,0,0,140,100,64,0,0,164,0,13,96
"Arizona","Santa Cruz",2021,269,185,83,0,1,0,0,166,62,37,0,0,0,0,181,88
"Arizona","Yavapai",2021,240,211,29,0,0,0,0,64,51,45,0,0,240,0,0,0
"Arizona","Yuma",2021,273,173,97,3,0,0,0,140,74,46,0,0,192,0,43,38
"Arkansas","Arkansas",2021,89,78,11,0,0,0,0,73,52,30,0,0,0,0,89,0
"Arkansas","Ashley",2021,89,75,14,0,0,0,0,61,54,32,0,0,0,0,89,0
"Arkansas","Clark",2021,241,236,5,0,0,0,0,84,45,33,0,0,241,0,0,0
"Arkansas","Crittenden",2021,273,212,57,4,0,0,0,122,63,42,0,5,155,0,113,0
"Arkansas","Garland",2021,90,74,16,0,0,0,0,77,55,34,0,0,0,0,90,0
"Arkansas","Jackson",2021,89,74,15,0,0,0,0,84,56,29,0,0,0,0,89,0
"Arkansas","Newton",2021,273,261,12,0,0,0,0,74,48,37,0,0,273,0,0,0
"Arkansas","Polk",2021,273,246,27,0,0,0,0,87,50,39,0,0,242,0,31,0
"Arkansas","Pulaski",2021,274,163,109,2,0,0,0,112,71,47,1,6,83,0,184,0
"Arkansas","Union",2021,85,67,18,0,0,0,0,71,55,35,0,0,0,0,85,0
"Arkansas","Washington",2021,273,188,84,1,0,0,0,119,63,43,0,0,151,0,122,0
"California","Alameda",2021,274,164,102,7,1,0,0,151,67,46,1,2,136,0,135,0
