District,Route,County,Postmile,Description,Back_Peak_Hour,Back_Peak_Month,Back_AADT,Ahead_Peak_Hour,Ahead_Peak_Month,Ahead_AADT
1,211 ,HUM, 73.2 ,"FERNDALE, OCEAN AVE",0,0,0,630,6500,6300
1,211 ,HUM,R74.192 ,"FERNDALE, VAN NESS AVE",630,6500,6300,620,6400,6200
1,211 ,HUM,R75.782 ,SAGE RD,550,5700,5500,570,5900,5700
1,101 ,HUM, 72.031 ,ORCHARD ST INTERCHANGE,2450,23200,21700,2650,24600,23000
1,211 ,HUM,R76.688 ,GOBLE LN-WADDINGTON RD,570,5900,5700,520,5500,5300
1,101 ,HUM, 72.876 ,KING SALMON AVE INTERCHANGE,2650,24600,23000,2550,26000,24400
1,211 ,HUM, 79.161 ,JCT. RTE. 101,580,5500,5300,0,0,0
1,101 ,HUM, 64.29 ,"JCT. RTE. 211, SINGELY RD",1970,21300,18200,2060,22300,20400
1,101 ,HUM, 70.611 ,FIELDS LANDING OVERHEAD,2400,23200,21500,2450,23200,21700
1,101 ,HUM, 65.947 ,LOLETA DR,2060,22300,20400,2270,22300,20700
1,101 ,DN, 46.492 ,OREGON STATE LINE,870,8600,7300,0,0,0
1,101 ,HUM, 68.207 ,HOOKTON RD INTERCHANGE,2270,22300,20700,2400,23200,21500
1,101 ,HUM, 73.719 ,SPRUCE POINT INTERCHANGE,2550,26000,24400,2850,32000,30000
1,101 ,DN, 26.813 ,"CRESENT CITY, NORTH OF 9 TH ST",1600,17200,13300,3550,38500,29500
1,101 ,DN, 26.771R,"CRESENT CITY, NORTH OF 9 TH ST",1550,18100,14000,1050,15100,11900
1,101 ,DN, 26.663R,"CRESCENT CITY, ON M ST AT 9TH ST",1450,16700,12900,1550,18100,14000
1,101 ,DN, 27.01 ,"CRESCENT CITY, NORTHCREST DR",3550,38500,29500,1950,20700,15900
1,101 ,DN, 26.437L,"CRESCENT CITY, ON L ST AT 4TH ST",1500,16300,12600,1600,17200,13300
1,101 ,DN, 26.38R,"CRESCENT CITY, ON M ST AT 4TH ST",860,12200,9600,1550,16700,12900
1,101 ,DN, 26.268L,"CRESCENT CITY, ON L ST AT FRONT ST",1050,15100,11900,1500,16300,12600
1,101 ,DN, 26.211R,"CRESCENT CITY, ON M ST AT FRONT ST",940,13200,10400,1150,12400,9600
1,101 ,DN, 26.183 ,"CRESCENT CITY, ON M ST",2600,27500,21500,940,13200,10400
1,101 ,HUM, 63.099 ,FINCH CREEK RD INTERCHANGE,2350,26000,21900,1970,21300,18200
1,101 ,HUM, 75.91 ,"EUREKA, MC CULLEN AVE",2900,32500,30000,3400,37500,34000
1,101 ,HUM, 74.78 ,HERRICK AVE,2850,32000,30000,2850,32000,29500
1,101 ,DN,R27.872 ,WASHINGTON BLVD INTERCHANGE,1950,20700,15900,1250,14000,10900
1,101 ,HUM, 76.33 ,"EUREKA, HARRIS ST",3300,34500,33000,3700,39000,38000
1,101 ,DN, 25.84 ,"CRESCENT CITY, ELK VALLEY RD",1600,14600,11400,1850,21100,16500
1,101 ,HUM, 76.65 ,"EUREKA, HENDERSON ST",3700,39000,38000,3850,40000,38000
1,101 ,HUM, 62.229 ,PALMER BLVD INTERCHANGE,2450,27000,22400,2350,26000,21900
1,101 ,HUM, 77.299 ,"EUREKA, WABASH AVE",3150,31500,30000,3150,31500,30000
1,255 ,HUM, 2.028 ,NAVY BASE RD,880,8400,8000,790,7600,7200
1,101 ,HUM, 77.85 ,"EUREKA, SEVENTH ST",3900,38500,37000,4250,40500,38500
1,101 ,HUM, 77.91 ,"EUREKA, SIXTH ST",4250,40500,38500,3650,34500,33000
1,101 ,HUM, 77.967 ,"EUREKA, ON FIFTH ST AT BRDWAY",3650,34500,33000,2200,21600,20000
1,101 ,HUM, 77.967L,"EUREKA, ON BRDWAY AT FIFTH ST",2000,19500,18000,2000,19500,18000
1,101 ,HUM, 78.026R,"EUREKA, ON FIFTH ST AT BRDWAY",2200,21600,20000,2200,21600,20000
1,101 ,HUM, 78.026L,"EUREKA, ON FOURTH ST AT BRDWAY",2000,19500,18000,1900,19500,18000
1,101 ,HUM, 61.531 ,FORTUNA OVERHEAD (MAIN ST),1650,17700,14900,2450,27000,22400
1,255 ,HUM, 3.657 ,DEAN/PACIFIC AVES,790,7600,7200,780,7500,7100
1,101 ,HUM, 78.56R,"EUREKA, ON FIFTH ST AT G ST",2250,23600,22000,2500,26000,24500
1,101 ,HUM, 78.56L,"EUREKA, ON FOURTH ST AT G ST",1600,18200,17000,2550,29500,27500
1,101 ,HUM, 78.68R,"EUREKA, ON FIFTH ST AT I ST",2450,25500,24000,1900,20000,18500
1,101 ,HUM, 78.68L,"EUREKA, ON FOURTH ST AT I ST",1750,20200,19000,2050,23500,22000
1,101 ,DN, 24.41 ,SANDMINE RD,660,6900,4500,900,9200,6500
1,255 ,HUM, 4.728 ,YOUNG LANE,780,7500,7100,770,7400,7000
1,101 ,HUM, 79.06L,"EUREKA, ON FOURTH ST AT MYRTLE AVE",1750,20500,19000,1650,19800,18000
1,101 ,HUM, 60.493 ,12TH ST INTERCHANGE,1450,15100,12800,1650,17700,14900
1,101 ,HUM, 79.126R,"EUREKA, ON FIFTH ST AT MYRTLE AVE",1950,21600,20000,2150,22700,21000
1,101 ,HUM, 79.168R,"EUREKA, ON FIFTH ST AT JCT. RTE. 255 NORTH",2150,22700,21000,1700,17200,16000
1,101 ,HUM, 79.168L,"EUREKA, ON FOURTH ST AT JCT. RTE. 255 NORTH",1650,19800,18000,1850,18200,17000
1,255 ,HUM, 0 ,"EUREKA, JCT. RTE. 101",0,0,0,1050,10000,9500
1,101 ,HUM,R103.378 ,SEAWOOD DR INTERCHANGE,680,6500,4900,640,6300,4700
1,101 ,DN, 23.77 ,HUMBOLDT RD; BLUFF RD,730,7600,5000,700,7400,4800
1,255 ,HUM,R5.13 ,MAD RIVER SLOUGH BRIDGE,770,7400,7000,830,7900,7500
1,101 ,HUM, 59.503 ,"FORTUNA, KENMAR RD INTERCHANGE",1450,16300,13000,1450,15100,12800
1,101 ,DN,R30.81 ,JCT. RTE. 199 NORTHEAST,1250,14000,10900,700,8000,6300
1,101 ,HUM, 58.69 ,DRAKE HILL RD,2000,22300,17800,2000,22200,17700
1,101 ,DN, 31.188 ,ELK VALLEY CROSS RD,700,8000,6300,770,8400,6500
1,101 ,HUM,R106.069 ,PATRICKS POINT INTERCHANGE,640,6300,4700,550,5700,4300
1,101 ,DN, 39.83 ,FRED HAIGHT DR,780,8600,6700,800,8700,6800
1,101 ,HUM, 79.574R,"EUREKA, BEGIN DIVIDED HWY FACILITY",1700,17200,16000,2000,19500,18000
1,101 ,HUM, 79.574 ,"EUREKA, BEGIN DIVIDED HWY FACILITY",1850,18200,17000,3650,36000,34000
1,101 ,HUM, 57.69 ,JCT. RTE. 36 EAST,1200,14500,13000,2000,22300,17800
1,36 ,HUM, 0 ,"ALTON, JCT. RTE. 101",0,0,0,580,4950,4000
1,36 ,HUM, 0.298 ,EAST LIMITS ALTON,580,5100,4000,580,5200,4000
1,101 ,HUM, 100.705 ,TRINIDAD RD INTERCHANGE,1100,11700,8800,680,6500,4900
1,197 ,DN, 7.08 ,JCT. RTE. 101,250,2350,1800,0,0,0
1,101 ,HUM, 80.26 ,"EUREKA, COLE AVE",3650,36000,34000,3650,36000,34000
1,101 ,HUM, 108.22 ,BIG LAGOON PARK RD,550,5700,4300,600,5600,4200
1,101 ,HUM, 80.84 ,"EUREKA, AIRPORT RD",3650,36000,34000,3650,36000,34000
1,101 ,HUM,R93 ,"MC KINLEYVILLE, MURRAY RD INTERCHANGE",1700,19100,16000,1350,15500,12900
1,101 ,HUM,R93.852 ,"MC KINLEYVILLE, AIRPORT RD INTERCHANGE",1350,15500,12900,1200,12800,10900
1,101 ,HUM,R91.473 ,"MC KINLEYVILLE, SCHOOL RD INTERCHANGE",2050,22100,18500,1700,19100,16000
1,101 ,HUM,R95.62 ,NORTH CENTRAL AVE INTERCHANGE,1200,12800,10900,1150,12400,10600
1,101 ,HUM, 98.355 ,SIXTH ST INTERCHANGE,980,11300,8500,1100,11700,8800
1,101 ,HUM, 98.067 ,WESTHAVEN DR INTERCHANGE,1150,12200,10500,980,11300,8500
1,101 ,HUM,R53.379 ,"RIO DELL, SCENIC WAY INTERCHANGE",1100,11000,8800,1500,16300,13000
1,101 ,HUM,R97.02 ,CRANNELL RD,1150,12400,10600,1150,12200,10500
1,101 ,HUM, 109.55 ,GEORGIA PACIFIC RD,600,5600,4200,600,5600,4200
1,283 ,HUM, 0.356 ,NORTH END OF EEL RIVER BRIDGE,250,2300,2150,0,0,0
1,101 ,HUM,R52.602 ,"RIO DELL, DAVIS ST INTERCHANGE",1040,10800,8200,1100,11000,8800
1,200 ,HUM,R0 ,JCT. RTE. 101,0,0,0,250,2700,2500
1,101 ,HUM,R90.134 ,JCT. RTE. 200 EAST,3600,37000,33000,2050,22100,18500
