DISTRICT,RTE,RTE_SFX,CNTY,PM_PFX,PM,PM_SFX,DESCRIPTION,BACK_PEAK_HOUR,BACK_PEAK_MADT,BACK_AADT,AHEAD_PEAK_HOUR,AHEAD_PEAK_MADT,AHEAD_AADT,,
12,001,,ORA,R,0.129,,"DANA POINT, JCT. RTE. 5",0,0,0,4250,42000,38900,,310
12,001,,ORA,R,0.780,,"DANA POINT, DOHENY PARK ROAD",4250,42000,38900,4350,43500,40000,,640
12,001,,ORA,R,1.077,,BREAK IN ROUTE,0,0,0,0,0,0,,"1,000"
12,001,,ORA,,8.430,,"LAGUNA BEACH, MOUNTAIN ROAD",3200,40500,37900,3200,40500,37900,,"2,000"
12,001,,ORA,,9.418,,"LAGUNA BEACH, JCT. RTE. 133 NORTH",3400,43000,40000,3850,43000,40000,,"2,000"
12,001,,ORA,,9.600,,"LAGUNA BEACH, CLIFF DRIVE/ ASTER STREET",3750,41000,38500,3750,41000,38500,,"2,000"
12,001,,ORA,,11.500,,"LAGUNA BEACH, NORTH CITY LIMITS",3550,39500,36800,3600,40500,36800,,"2,000"
12,001,,ORA,,14.057,,BREAK IN ROUTE,0,0,0,0,0,0,,"2,000"
12,001,,ORA,R,18.073,,"NEWPORT BEACH, BAYSIDE DRIVE",4550,52000,47200,5500,62000,56500,,"7,110"
12,001,,ORA,R,18.446,,"NEWPORT BEACH, DOVER DRIVE",4850,55000,50200,4850,55000,50200,,"7,110"
12,001,,ORA,,19.797,,"NEWPORT BEACH, JCT. RTE. 55",4950,56000,50900,5900,54000,50900,,"7,250"
12,001,,ORA,,20.370,,"NEWPORT BEACH, BALBOA BLVD/SUPERIOR AVE",6000,54000,50600,6000,54000,50600,,"7,250"
12,001,,ORA,,21.549,,SANTA ANA RIVER BRIDGE,4650,42500,39800,4650,42500,39800,,"7,250"
12,001,,ORA,,22.090,,"HUNTINGTON BEACH, BROOKHURST STREET",4750,43000,40300,4800,43000,40300,,"7,250"
12,001,,ORA,,23.739,,"HUNTINGTON BEACH, JCT. RTE. 39 NORTH",4400,40000,37200,4400,40000,37200,,"7,250"
12,001,,ORA,,25.890,,"HUNTINGTON BEACH, GOLDENWEST STREET",4500,41000,38200,4500,41000,38200,,"7,250"
12,001,,ORA,,29.890,,"SUNSET BEACH, WARNER AVENUE",5500,49000,45700,4850,44000,41200,,"7,250"
12,001,,ORA,,32.721,,"SEAL BEACH, SEAL BEACH BOULVARD",4850,50000,47300,4900,51000,47300,,"7,250"
12,001,,ORA,,33.719,,LOS ANGELES/ORANGE COUNTY LINE,4550,47500,43800,0,0,0,,"7,250"
07,001,,LA,,0,,LOS ANGELES/ORANGE COUNTY LINE,0,0,0,4600,47500,43800,,"13,700"
07,001,,LA,,1.860,,"LONG BEACH, BELLFLOWER BOULEVARD",3350,37000,34500,2550,28000,26000,,"13,700"
07,001,,LA,,1.973,,"LONG BEACH, JCT. RTE. 22",2550,28000,26000,3400,36500,34000,,"13,700"
07,001,,LA,,2.751,,"LONG BEACH, ANAHEIM STREET",3400,36500,34000,2800,30000,28000,,"13,700"
07,001,,LA,,5.011,,"LONG BEACH, CHERRY AVENUE",3600,38000,36500,3650,38500,37000,,"15,620"
07,001,,LA,,6.260,,"LONG BEACH, LONG BEACH BOULEVARD",3200,34000,32500,3350,36000,34500,,"15,620"
07,001,,LA,,7.288,,"LONG BEACH, JCT. RTE. 710",4550,49500,40500,4350,47500,39000,,"15,620"
07,001,,LA,,8.266,,"LONG BEACH, JCT. RTE. 103",3800,41500,34000,3550,39000,32000,,"15,620"
07,001,,LA,,9.253,,"LOS ANGELES, ALAMEDA STREET",3550,39000,32000,3550,40000,32500,,"15,620"
07,001,,LA,,10.532,,"LOS ANGELES, AVALON BOULEVARD",3550,40000,33000,4350,50000,41000,,"15,620"
07,001,,LA,,11.610,,"LOS ANGELES, JCT. RTE. 110",4400,51000,41500,4400,59000,56000,,"15,620"
07,001,,LA,,12.171,,"LOS ANGELES, VERMONT AVENUE",4400,59000,56000,4200,56000,53000,,"15,620"
07,001,,LA,,12.523,,"LOS ANGELES, NORMANDIE AVENUE",4200,56000,53000,3950,51000,48500,,"15,620"
07,001,,LA,,13.100,,"LOS ANGELES, JCT. RTE. 213",4000,51000,49000,5100,64000,61000,,"15,620"
07,001,,LA,,14.634,,"TORRANCE, CRENSHAW BOULEVARD",4900,61000,58000,3850,46000,43500,,"15,620"
07,001,,LA,,16.005,,"TORRANCE, JCT. RTE. 107",3350,41000,39000,3800,43500,42500,,"15,620"
07,001,,LA,,18.090,,"TORRANCE, PALOS VERDES BOULEVARD",2850,33000,32000,2550,30500,29500,,"15,620"
07,001,,LA,,19.524,,"REDONDO BEACH, TORRANCE BOULEVARD",3350,40500,39000,3350,40500,39500,,"15,620"
07,001,,LA,,21.181,,"HERMOSA BEACH, AVIATION BOULEVARD",5300,64000,62000,4150,54000,50000,,"15,620"
07,001,,LA,,21.341,,"HERMOSA BEACH, PIER AVENUE/14TH STREET",4150,54000,50000,3700,48500,45500,,"15,620"
